iter	Logloss
0	0.664842933
1	0.6382249076
2	0.6130492479
3	0.5892719758
4	0.5667733532
5	0.5454527778
6	0.5252425042
7	0.5060190978
8	0.4877746485
9	0.4704087947
10	0.4538599185
11	0.4381059745
12	0.4230453121
13	0.4086705385
14	0.3949819697
15	0.3818755275
16	0.3693221368
17	0.3572936936
18	0.3457585696
19	0.3347410582
20	0.3241384323
21	0.3140020717
22	0.3042707293
23	0.294933971
24	0.2859584782
25	0.277303465
26	0.2690508844
27	0.2610750929
28	0.2534021901
29	0.2460089026
30	0.2389062418
31	0.2320948551
32	0.2255092988
33	0.219149458
34	0.2130465172
35	0.2071652969
36	0.2014941079
37	0.1960387861
38	0.1907510204
39	0.18563824
40	0.1807458364
41	0.176029194
42	0.1714668923
43	0.1670802336
44	0.1628091044
45	0.1586879625
46	0.1547580285
47	0.1508999174
48	0.1471809996
49	0.1435843154
