iter	Passed	Remaining
0	180	8865
1	312	7500
2	444	6971
3	540	6217
4	635	5718
5	732	5370
6	830	5100
7	926	4865
8	1027	4678
9	1122	4490
10	1218	4319
11	1312	4157
12	1409	4011
13	1504	3869
14	1598	3729
15	1693	3597
16	1790	3476
17	1889	3359
18	1988	3244
19	2083	3125
20	2178	3008
21	2273	2893
22	2373	2785
23	2472	2678
24	2572	2572
25	2669	2464
26	2766	2356
27	2863	2250
28	2961	2144
29	3059	2039
30	3156	1934
31	3252	1829
32	3350	1726
33	3448	1622
34	3548	1520
35	3646	1418
36	3748	1316
37	3845	1214
38	3942	1112
39	4040	1010
40	4137	908
41	4233	806
42	4331	705
43	4426	603
44	4522	502
45	4621	401
46	4720	301
47	4819	200
48	4917	100
49	5015	0
